,exp_id,agent_id,env_name,policy_id,exp_seed,num_episodes,time_limit,episode_return_mean,episode_return_std,episode_return_max,episode_return_min,episode_steps_mean,episode_steps_std,episode_time_mean,episode_time_std,num_episode_done,num_LOSS,num_DRAW,num_WIN,num_NA
30,1136,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/sp_seed0_i0-v0,0,2,None,-0.8761061946902655,0.0,-0.8761061946902655,-0.8761061946902655,7.0,1.0,0.0158809423446655,0.0023878812789916,2,2,0,0,0
31,1136,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k1_seed3_i1-v0,0,2,None,0.8761061946902655,0.0,0.8761061946902655,0.8761061946902655,7.0,1.0,0.0158809423446655,0.0023878812789916,2,0,0,2,0
32,803,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k3_seed3_i0-v0,0,2,None,-0.8628318584070797,0.0044247787610619,-0.8584070796460177,-0.8672566371681416,3.0,1.0,0.0076543092727661,0.0028735399246215,2,2,0,0,0
33,803,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k4_seed1_i1-v0,0,2,None,0.8628318584070797,0.0044247787610619,0.8672566371681416,0.8584070796460177,3.0,1.0,0.0076543092727661,0.0028735399246215,2,0,0,2,0
34,758,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k2_seed3_i0-v0,0,2,None,0.9690265486725664,0.0044247787610619,0.9734513274336284,0.9646017699115044,18.5,8.5,0.0446975231170654,0.0206670761108398,2,0,0,2,0
35,758,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k1_seed0_i1-v0,0,2,None,-0.9690265486725664,0.0044247787610619,-0.9646017699115044,-0.9734513274336284,18.5,8.5,0.0446975231170654,0.0206670761108398,2,2,0,0,0
36,566,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k2_seed2_i0-v0,0,2,None,0.0575221238938052,0.9336283185840708,0.991150442477876,-0.8761061946902655,10.5,4.5,0.0251070261001586,0.0098916292190551,2,1,0,1,0
37,566,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k1_seed4_i1-v0,0,2,None,-0.0575221238938052,0.9336283185840708,0.8761061946902655,-0.991150442477876,10.5,4.5,0.0251070261001586,0.0098916292190551,2,1,0,1,0
38,734,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k1_seed3_i0-v0,0,2,None,-0.8584070796460177,0.0,-0.8584070796460177,-0.8584070796460177,7.0,0.0,0.0160543918609619,0.0005817413330078,2,2,0,0,0
39,734,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k1_seed2_i1-v0,0,2,None,0.8584070796460177,0.0,0.8584070796460177,0.8584070796460177,7.0,0.0,0.0160543918609619,0.0005817413330078,2,0,0,2,0
40,708,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k0_seed3_i0-v0,0,2,None,-0.8761061946902655,0.0,-0.8761061946902655,-0.8761061946902655,12.0,0.0,0.0267295837402343,0.0001475811004638,2,2,0,0,0
41,708,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klrbr_k4_seed3_i1-v0,0,2,None,0.8761061946902655,0.0,0.8761061946902655,0.8761061946902655,12.0,0.0,0.0267295837402343,0.0001475811004638,2,0,0,2,0
42,939,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k1_seed4_i0-v0,0,2,None,-0.8495575221238938,0.0,-0.8495575221238938,-0.8495575221238938,5.0,1.0,0.0177555084228515,0.0038244724273681,2,2,0,0,0
43,939,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k2_seed0_i1-v0,0,2,None,0.8495575221238938,0.0,0.8495575221238938,0.8495575221238938,5.0,1.0,0.0177555084228515,0.0038244724273681,2,0,0,2,0
44,436,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klrbr_k4_seed1_i0-v0,0,2,None,0.0442477876106194,0.9203539823008848,0.9646017699115044,-0.8761061946902655,21.5,13.5,0.0508598089218139,0.0325931310653686,2,1,0,1,0
45,436,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k3_seed0_i1-v0,0,2,None,-0.0442477876106194,0.9203539823008848,0.8761061946902655,-0.9646017699115044,21.5,13.5,0.0508598089218139,0.0325931310653686,2,1,0,1,0
46,676,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klrbr_k4_seed2_i0-v0,0,2,None,0.9734513274336284,0.0,0.9734513274336284,0.9734513274336284,20.0,5.0,0.0468424558639526,0.0125247240066528,2,0,0,2,0
47,676,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k3_seed4_i1-v0,0,2,None,-0.9734513274336284,0.0,-0.9734513274336284,-0.9734513274336284,20.0,5.0,0.0468424558639526,0.0125247240066528,2,2,0,0,0
48,1049,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k4_seed4_i0-v0,0,2,None,0.986725663716814,0.0044247787610619,0.991150442477876,0.9823008849557522,12.5,0.5,0.0291885137557983,0.0015586614608764,2,0,0,2,0
49,1049,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k4_seed0_i1-v0,0,2,None,-0.986725663716814,0.0044247787610619,-0.9823008849557522,-0.991150442477876,12.5,0.5,0.0291885137557983,0.0015586614608764,2,2,0,0,0
50,167,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k3_seed0_i0-v0,0,2,None,-0.8584070796460177,0.0,-0.8584070796460177,-0.8584070796460177,4.0,0.0,0.0092829465866088,0.0005818605422973,2,2,0,0,0
51,167,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k4_seed3_i1-v0,0,2,None,0.8584070796460177,0.0,0.8584070796460177,0.8584070796460177,4.0,0.0,0.0092829465866088,0.0005818605422973,2,0,0,2,0
52,1185,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/sp_seed1_i0-v0,0,2,None,-0.8495575221238938,0.0176991150442478,-0.831858407079646,-0.8672566371681416,7.0,2.0,0.017230749130249,0.0059740543365478,2,2,0,0,0
53,1185,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/sp_seed2_i1-v0,0,2,None,0.8495575221238938,0.0176991150442478,0.8672566371681416,0.831858407079646,7.0,2.0,0.017230749130249,0.0059740543365478,2,0,0,2,0
54,931,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k0_seed4_i0-v0,0,2,None,0.9690265486725664,0.0044247787610619,0.9734513274336284,0.9646017699115044,10.5,1.5,0.0256255865097045,0.0042594671249389,2,0,0,2,0
55,931,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/sp_seed0_i1-v0,0,2,None,-0.9690265486725664,0.0044247787610619,-0.9646017699115044,-0.9734513274336284,10.5,1.5,0.0256255865097045,0.0042594671249389,2,2,0,0,0
56,85,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k1_seed0_i0-v0,0,2,None,0.9690265486725664,0.0044247787610619,0.9734513274336284,0.9646017699115044,10.5,0.5,0.0242964029312133,0.0019119977951049,2,0,0,2,0
57,85,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k0_seed2_i1-v0,0,2,None,-0.9690265486725664,0.0044247787610619,-0.9646017699115044,-0.9734513274336284,10.5,0.5,0.0242964029312133,0.0019119977951049,2,2,0,0,0
58,408,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k4_seed1_i0-v0,0,2,None,-0.8495575221238938,0.0353982300884956,-0.8141592920353982,-0.8849557522123894,13.0,1.0,0.0346225500106811,0.0031837224960327,2,2,0,0,0
59,408,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klrbr_k4_seed1_i1-v0,0,2,None,0.8495575221238938,0.0353982300884956,0.8849557522123894,0.8141592920353982,13.0,1.0,0.0346225500106811,0.0031837224960327,2,0,0,2,0
60,185,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k4_seed0_i0-v0,0,2,None,0.9734513274336284,0.0,0.9734513274336284,0.9734513274336284,13.5,1.5,0.0315228700637817,0.0031279325485229,2,0,0,2,0
61,185,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k4_seed0_i1-v0,0,2,None,-0.9734513274336284,0.0,-0.9734513274336284,-0.9734513274336284,13.5,1.5,0.0315228700637817,0.0031279325485229,2,2,0,0,0
62,929,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k0_seed4_i0-v0,0,2,None,-0.4247787610619469,0.4424778761061947,0.0176991150442478,-0.8672566371681416,29.5,20.5,0.0744898319244384,0.0515222549438476,2,1,0,0,1
63,929,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k4_seed4_i1-v0,0,2,None,0.4247787610619469,0.4424778761061947,0.8672566371681416,-0.0176991150442478,29.5,20.5,0.0744898319244384,0.0515222549438476,2,0,0,1,1
64,41,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k0_seed0_i0-v0,0,2,None,0.0353982300884956,0.0,0.0353982300884956,0.0353982300884956,50.0,0.0,0.1283406019210815,0.0016964673995971,2,0,0,0,2
